,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,StrainID,SourceID,BatchID,Duration.days,PondID,DateTime,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,NH4.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW,SiteID2,Temp.avg (C),Temp.max (C),Temp.min (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s)
155,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,53385.99,6.79,97.64,35.26,
156,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.12,23.7,10.6,54460.01,9.95,130.2,36.04,
157,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,16.28,25.1,11.2,53460.11,8.25,105.65,35.27,
158,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,18.36,23.4,14.6,52535.2,9.58,126.62,34.65,
159,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,14.9,17.5,12.7,53474.89,9.53,118.0,35.31,
160,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,15.9,22.4,9.6,51958.17,10.05,126.64,34.15,
161,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,21.1,27.8,14.0,56702.86,9.52,135.51,37.73,
162,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,19.96,26.9,13.8,55629.67,9.5,132.91,36.94,
163,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,18.62,26.1,11.2,54297.7,9.03,122.2,35.92,
164,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,21725.92,11.61,153.38,13.04,
165,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,52554.87,9.44,127.9,34.67,
166,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,23.44,28.1,19.1,59828.14,9.1,136.88,40.09,
167,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,26.01,31.7,19.4,47501.87,8.41,125.17,30.87,
168,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,47091.63,4.29,51.8,30.6,
169,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,50449.99,8.46,91.28,32.76,
170,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,26.33,31.89,22.25,54310.72,7.02,108.14,35.88,
171,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,26.2,32.98,20.89,54865.49,8.79,135.6,36.29,
172,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,26.2,32.34,21.39,51982.66,8.59,130.56,34.19,
173,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.42,21.9,14.4,58613.25,8.0,106.74,39.18,
174,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.86,24.4,12.8,59445.84,7.99,108.05,39.79,
175,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,19.47,25.5,12.8,56086.71,8.07,111.01,37.27,
176,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.44,22.1,12.2,49333.66,8.54,109.73,32.3,
177,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.48,22.7,12.9,43375.05,8.58,106.61,28.0,
178,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,18.61,22.7,16.0,47163.68,8.12,104.96,30.74,
179,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,15.28,21.6,10.0,53.44,8.99,113.15,35.25,
180,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.26,23.0,13.4,54130.14,8.02,104.45,35.82,
181,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,14.08,14.4,13.8,54569.18,6.33,77.0,36.1,
182,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,17.65,24.0,11.8,53307.85,8.68,114.35,35.19,
183,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,23.73,28.0,20.7,46094.16,4.81,67.77,29.9,
184,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,19.03,23.3,15.5,45791.34,3.56,46.05,29.73,
185,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,19.7,23.2,17.1,45453.28,3.58,46.72,29.48,
186,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,19.95,21.7,18.6,44334.84,3.14,40.83,28.7,
187,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,49765.75,6.83,79.59,32.45,
188,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,33415.34,7.23,77.59,20.93,
189,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,35961.74,7.08,84.81,22.72,
190,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,35582.99,7.18,86.99,22.5,
191,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,23141.1,8.24,100.49,14.22,
192,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,22.65,28.6,17.2,55151.7,8.53,123.02,36.57,
193,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,20.39,27.8,12.4,53778.92,9.17,127.94,35.54,
194,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,21.78,28.0,16.5,57573.89,8.86,128.44,38.39,
195,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,22.95,26.8,20.1,52383.77,7.73,110.49,34.54,
196,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,24.5,29.5,20.6,42905.62,8.26,117.89,27.62,
197,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,27.48,32.7,23.4,49412.1,7.88,121.02,32.23,
198,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,27.61,33.3,22.9,42659.58,7.71,115.15,27.34,
199,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,24.37,29.3,20.5,50517.11,6.46,94.44,33.12,
200,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,25.1,27.2,23.6,51609.31,8.19,120.83,33.92,
201,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,51818.14,10.59,151.88,34.11,
