"Tracking.ID","Analytical.Sample.ID","DATETIME","Protein.AF","FAME.Lipids.AF","Carbohydrates.AF","ExperimentID","SiteID","StrainID","SourceID","BatchID","Duration.days","PondID"
18,"ASU_P6_103013_1","10/30/2013 8:15",44.23,NA,8.07,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",12.74,"P6"
19,"ASU_P6_110413_1","11/4/2013 8:00",44.34,13.34,7.21,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",17.73,"P6"
21,"ASU_P1_111213_1","11/12/2013 8:00",41.98,14.73,6.66,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",25.73,"P1"
22,"ASU_P2_111213_1","11/12/2013 8:00",41.76,16.78,7.04,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",25.73,"P2"
23,"ASU_P3_111213_1","11/12/2013 8:00",41.85,14.58,7.01,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",25.73,"P3"
24,"ASU_P4_111213_1","11/12/2013 8:00",41.5,17.94,6.55,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",25.73,"P4"
25,"ASU_P5_111213_1","11/12/2013 8:00",42.34,16.31,6.88,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",25.73,"P5"
26,"ASU_P6_111213_1","11/12/2013 8:00",42.06,15.39,6.26,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",25.73,"P6"
27,"ASU_P1_111813_1","11/18/2013 8:15",42.43,14.55,8.07,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",31.74,"P1"
28,"ASU_P2_111813_1","11/18/2013 8:15",42.14,NA,8.37,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",31.74,"P2"
29,"ASU_P3_111813_1","11/18/2013 8:15",42.07,NA,8.66,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",31.74,"P3"
30,"ASU_P4_111813_1","11/18/2013 8:15",40.47,16.44,8.03,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",31.74,"P4"
31,"ASU_P5_111813_1","11/18/2013 8:15",43.4,NA,8.31,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",31.74,"P5"
32,"ASU_P6_111813_1","11/18/2013 8:15",41.94,NA,8.16,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",31.74,"P6"
33,"ASU_P1_112013_1","11/20/2013 8:00",43.51,17.23,8.06,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",33.73,"P1"
34,"ASU_P2_112013_1","11/20/2013 8:00",43.37,17.47,8.11,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",33.73,"P2"
35,"ASU_P3_112013_1","11/20/2013 8:00",43.15,17.3,8.26,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",33.73,"P3"
36,"ASU_P4_112013_1","11/20/2013 8:00",37.11,21.82,9.94,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",33.73,"P4"
37,"ASU_P5_112013_1","11/20/2013 8:00",39.81,18.93,9.17,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",33.73,"P5"
38,"ASU_P6_112013_1","11/20/2013 8:00",38.35,19.74,9.68,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",33.73,"P6"
39,"ASU_P1_112213_1","11/22/2013 8:00",43.74,14.89,7.58,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",35.73,"P1"
40,"ASU_P2_112213_1","11/22/2013 8:00",44.1,NA,7.97,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",35.73,"P2"
41,"ASU_P3_112213_1","11/22/2013 8:00",43.61,NA,9.68,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",35.73,"P3"
42,"ASU_P4_112213_1","11/22/2013 8:00",35.58,NA,10.29,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",35.73,"P4"
43,"ASU_P5_11213_1","11/22/2013 8:00",37.98,NA,9.41,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",35.73,"P5"
44,"ASU_P6_112213_1","11/22/2013 8:00",36.89,NA,9.83,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",35.73,"P6"
45,"ASU_P1_112513_1","11/25/2013 7:44",44.05,17.87,7.71,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",38.72,"P1"
46,"ASU_P2_112513_1","11/25/2013 7:44",43.2,16.2,7.92,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",38.72,"P2"
47,"ASU_P3_112513_1","11/25/2013 7:44",43.53,18,8.58,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",38.72,"P3"
48,"ASU_P4_112513_1","11/25/2013 7:44",32.22,26.63,10.85,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",38.72,"P4"
49,"ASU_P5_112513_1","11/25/2013 7:44",34.63,20.94,9.9,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",38.72,"P5"
50,"ASU_P6_112513_1","11/25/2013 7:44",34.16,24.05,11.13,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",38.72,"P6"
51,"ASU_P1_112713_1","11/27/2013 7:44",42.53,NA,8.48,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",40.72,"P1"
52,"ASU_P2_112713_1","11/27/2013 7:44",42.81,NA,8.3,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",40.72,"P2"
53,"ASU_P3_112713_1","11/27/2013 7:44",42.48,NA,8.41,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",40.72,"P3"
54,"ASU_P4_112713_1","11/27/2013 7:44",30.45,NA,10.95,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",40.72,"P4"
55,"ASU_P5_112713_1","11/27/2013 7:44",33.1,NA,11.44,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",40.72,"P5"
56,"ASU_P6_112713_1","11/27/2013 7:44",30.34,NA,9.15,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",40.72,"P6"
57,"ASU_P1_120213_1","12/2/2013 8:00",41.52,17.83,7.96,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",45.73,"P1"
58,"ASU_P2_120213_1","12/2/2013 8:00",41.19,17.82,7.88,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",45.73,"P2"
59,"ASU_P3_120213_1","12/2/2013 8:00",43.14,19,8.68,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",45.73,"P3"
60,"ASU_P4_120213_1","12/2/2013 8:00",27.39,32.49,10.48,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",45.73,"P4"
61,"ASU_P5_120213_1","12/2/2013 8:00",30.96,26.85,11.64,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",45.73,"P5"
62,"ASU_P6_120213_1","12/2/2013 8:00",29.26,30,11.19,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",45.73,"P6"
63,"ASU_P1_120413_1","12/4/2013 7:44",43,NA,7.94,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",47.72,"P1"
64,"ASU_P2_120413_1","12/4/2013 7:44",41.14,NA,8.65,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",47.72,"P2"
65,"ASU_P3_120413_1","12/4/2013 7:44",28.5,NA,11.31,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",47.72,"P3"
66,"ASU_P4_120413_1","12/4/2013 7:44",26.52,NA,8.5,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",47.72,"P4"
67,"ASU_P5_120413_1","12/4/2013 7:44",29.81,NA,11.71,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",47.72,"P5"
68,"ASU_P6_120413_1","12/4/2013 7:44",42.79,NA,8.48,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",47.72,"P6"
69,"ASU_P1_120513_1","12/5/2013 7:44",42.36,16.96,8.37,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",48.72,"P1"
70,"ASU_P2_120513_1","12/5/2013 7:44",41.91,18.12,7.61,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",48.72,"P2"
71,"ASU_P3_120513_1","12/5/2013 7:44",42.14,18.58,8.46,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",48.72,"P3"
72,"ASU_P4_120513_1","12/5/2013 7:44",26.13,33.95,12.3,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",48.72,"P4"
73,"ASU_P5_120513_1","12/5/2013 7:44",28.68,28.25,11.95,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",48.72,"P5"
74,"ASU_P6_120513_1","12/5/2013 7:44",27.85,30.85,10.64,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",48.72,"P6"
75,"Pond_To","10/17/2013 17:29",21.95,32.76,14.35,"OCT172013","CP","KA32","","",0,"inoc"
76,"P1_31Oct13","10/31/2013 8:15",42.91,14.21,7.46,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",13.61,"P1"
77,"P2_31Oct13","10/31/2013 8:15",26.93,10.82,6.41,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",13.61,"P2"
78,"P3_31Oct13","10/31/2013 8:15",47.88,16.36,8.29,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",13.61,"P3"
79,"P4_31Oct13","10/31/2013 8:15",48.01,15.59,7.99,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",13.61,"P4"
80,"P5_31Oct13","10/31/2013 8:15",48.96,16.42,8.32,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",13.61,"P5"
81,"P6_31Oct13","10/31/2013 8:15",47.24,12.38,7.91,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",13.61,"P6"
82,"P1_8Nov2013","11/8/2013 9:40",46.06,16.15,8.44,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",21.67,"P1"
83,"P2_8Nov2013","11/8/2013 9:40",45.41,16.76,8.82,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",21.67,"P2"
84,"P3_8Nov2013","11/8/2013 9:40",47.49,16.45,8.66,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",21.67,"P3"
85,"P4_8Nov2013","11/8/2013 9:40",41.11,13.25,7.63,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",21.67,"P4"
86,"P5_8Nov2013","11/8/2013 9:40",40.65,15.46,7.64,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",21.67,"P5"
87,"P6_8Nov2013","11/8/2013 9:40",45.05,16.24,7.22,"OCT172013","CP","KA32","KA32_4Oct2013_Panels","KA32_4Oct2013",21.67,"P6"
88,"P1_22Nov2013","11/22/2013 8:55",44.71,16.22,9.35,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",35.64,"P1"
89,"P2_22Nov2013","11/22/2013 8:55",43.72,17.04,10.53,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",35.64,"P2"
90,"P3_22Nov2013","11/22/2013 8:55",44.5,15.83,9.26,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",35.64,"P3"
91,"P4_22Nov2013","11/22/2013 8:55",43.01,13.9,9.09,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",35.64,"P4"
92,"P5_22Nov2013","11/22/2013 8:55",43.22,15.94,9.74,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",35.64,"P5"
93,"P6_22Nov2013","11/22/2013 8:55",45.59,15.96,9.75,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",35.64,"P6"
94,"P1_25Nov2013","11/25/2013 9:45",42.87,16.92,8.92,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",38.68,"P1"
95,"P2_25Nov2013","11/25/2013 9:45",43.77,17.15,8.83,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",38.68,"P2"
96,"P3_25Nov2013","11/25/2013 9:45",43.46,15.44,8.08,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",38.68,"P3"
97,"P4_25Nov2013","11/25/2013 9:45",36.66,20.81,9.62,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",38.68,"P4"
98,"P5_25Nov2013","11/25/2013 9:45",37.57,21.93,9.46,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",38.68,"P5"
99,"P6_25Nov2013","11/25/2013 9:45",39.44,20.72,9.18,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",38.68,"P6"
100,"P2_29Nov2013","11/29/2013 8:25",43.45,17.19,9.7,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",42.62,"P2"
101,"P3_29Nov2013","11/29/2013 8:25",44,16.39,9.64,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",42.62,"P3"
102,"P4_29Nov2013","11/29/2013 8:25",33.54,24.61,11.41,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",42.62,"P4"
103,"P5_29Nov2013","11/29/2013 8:25",33.42,26.44,11.28,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",42.62,"P5"
104,"P6_29Nov2013","11/29/2013 8:25",33.26,22.82,10.86,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",42.62,"P6"
105,"P1_2Dec2013","12/2/2013 8:35",45.08,17.92,9.16,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",45.63,"P1"
106,"P2_2Dec2013","12/2/2013 8:35",42.86,17.2,9.01,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",45.63,"P2"
107,"P3_2Dec2013","12/2/2013 8:35",45.32,17.87,9.25,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",45.63,"P3"
108,"P4_2Dec2013","12/2/2013 8:35",31.19,26.54,11.07,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",45.63,"P4"
109,"P5_2Dec2013","12/2/2013 8:35",31.28,27.63,10.72,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",45.63,"P5"
110,"P6_2Dec2013","12/2/2013 8:35",31.7,26.31,10.44,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",45.63,"P6"
111,"P1_5Dec2013","12/5/2013 9:30",45.43,15.9,9.19,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",48.67,"P1"
112,"P2_5Dec2013","12/5/2013 9:30",44.76,18.02,9.43,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",48.67,"P2"
113,"P3_5Dec2013","12/5/2013 9:30",44.71,16.3,8.94,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",48.67,"P3"
114,"P4_5Dec2013","12/5/2013 9:30",31.52,29.71,11.13,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",48.67,"P4"
115,"P5_5Dec2013","12/5/2013 9:30",31.82,31.41,11.45,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",48.67,"P5"
116,"P6_5Dec2013","12/5/2013 9:30",31.84,29.42,11.2,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",48.67,"P6"
117,"P1_29Nov2013","11/29/2013 8:25",43.27,16.62,9.41,"OCT172013","CP","KA32","KA32_9Oct2013_Pond3","KA32_9Oct2013",42.62,"P1"
118,"Cell_132310_T0","10/23/2013 15:30",35.64,16.29,10.94,"OCT172013","CELL","KA32","","",0,"inoc"
119,"Cell_1_102813_D7","10/28/2013 14:00",32.54,12.15,7.37,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",4.94,"P1"
120,"Cell_2_102813_D7","10/28/2013 14:00",29.95,10.9,7.62,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",4.94,"P2"
121,"Cell_4_102813_D7","10/28/2013 14:00",24.63,9.97,8.49,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",4.94,"P4"
122,"Cell_5_102813_D7","10/28/2013 14:00",29.25,10.5,9.26,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",4.94,"P5"
123,"Cell_6_102813_D7","10/28/2013 14:00",30.44,10.59,NA,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",4.94,"P6"
124,"Cell_3_102813_D7","10/28/2013 14:00",37.49,11.79,10.64,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",4.94,"P3"
125,"Cell_1_110413_TF","11/4/2013 8:29",38.51,11.79,10.78,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",11.71,"P1"
126,"Cell_2_110413_TF","11/4/2013 8:29",39.43,12.7,9.46,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",11.71,"P2"
127,"Cell_3_110413_TF","11/4/2013 8:29",36.69,11.36,9.81,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",11.71,"P3"
128,"Cell_4_110413_TF","11/4/2013 8:29",35.9,11.3,8.73,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",11.71,"P4"
129,"Cell_5_110413_TF","11/4/2013 8:29",38.98,11.48,9.09,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",11.71,"P5"
130,"Cell_6_110413_TF","11/4/2013 8:29",39.27,10.82,9.92,"OCT172013","CELL","KA32","KA32_Panels1","KA32_10232013_Ponds",11.71,"P6"
132,"Cell_110513_T0","11/5/2013 15:00",32.27,17.37,12.8,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",12.98,"inoc"
133,"Cell_2_111113_D7","11/11/2013 8:29",34.17,10.41,8.42,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",18.71,"P2"
134,"Cell_3_111113_D7","11/11/2013 8:29",36.09,11.46,9.11,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",18.71,"P3"
135,"Cell_1_111113_D7","11/11/2013 8:29",34.97,10.96,8.98,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",18.71,"P1"
136,"Cell_5_111113_D7","11/11/2013 8:29",37.63,11.58,9.25,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",18.71,"P5"
137,"Cell_4_111113_D7","11/11/2013 8:29",39.63,11.94,8.51,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",18.71,"P4"
138,"Cell_6_111113_D7","11/11/2013 8:29",40.63,11.97,8.86,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",18.71,"P6"
139,"Cell_111813_TF","11/18/2013 8:29",38.08,10.66,8.14,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",25.71,"P1"
140,"Cell_111813_TF","11/18/2013 8:29",32.87,7.41,8.7,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",25.71,"P2"
141,"Cell_111813_TF","11/18/2013 8:29",34.96,7.68,8.62,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",25.71,"P3"
142,"Cell_111813_TF","11/18/2013 8:29",32.92,7.73,9.92,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",25.71,"P4"
143,"Cell_111813_TF","11/18/2013 8:29",31.37,13.96,11.05,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",25.71,"P5"
144,"Cell_111813_TF","11/18/2013 8:29",28.75,12.38,11.04,"OCT172013","CELL","KA32","KA32_Panels2","KA32_11052013_Ponds",25.71,"P6"
146,"P1-11062013","11/5/2013 8:35",41.12,8.36,6.81,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",11.69,"P1"
147,"P2-11062013","11/5/2013 8:35",41.82,8.38,5.66,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",11.69,"P2"
148,"P3-11062013","11/5/2013 8:35",40.3,7.98,5.63,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",11.69,"P3"
149,"P4-11062013","11/5/2013 8:35",38.28,7.6,6.88,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",11.69,"P4"
150,"P5-11062013","11/5/2013 8:35",35.93,7.93,7.42,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",11.69,"P5"
151,"P6-11062013","11/5/2013 8:35",36.17,7.72,6.65,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",11.69,"P6"
152,"P1-11122013","11/12/2013 9:35",41.47,9.06,6.35,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",18.73,"P1"
153,"P2-11122013","11/12/2013 9:35",NA,NA,NA,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",18.73,"P2"
154,"P3-11122013","11/12/2013 9:35",41.02,8.97,6.17,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",18.73,"P3"
155,"P4-11122013","11/12/2013 9:35",38.95,8.74,7.4,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",18.73,"P4"
156,"P5-11122013","11/12/2013 9:35",38.57,8.91,7.02,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",18.73,"P5"
157,"P6-11122013","11/12/2013 9:35",38.49,8.5,6.94,"OCT172013","TRL","KA32","Panel K32-10182013","Pond k32-10242013",18.73,"P6"
158,"P2&6-11142013","11/14/2013 15:30",40.37,10.17,14.71,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",20.98,"inoc"
159,"P1-11222013","11/22/2013 9:08",42.99,13.56,13.23,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",28.71,"P1"
160,"P2-11222013","11/22/2013 9:08",42.42,9.1,12.73,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",28.71,"P2"
161,"P3-11222013","11/22/2013 9:08",43.12,9.22,12.76,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",28.71,"P3"
162,"P4-11222013","11/22/2013 9:08",42.47,9.8,13.4,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",28.71,"P4"
163,"P5-11222013","11/22/2013 9:08",41.63,9.6,14.42,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",28.71,"P5"
164,"P6-11222013","11/22/2013 9:08",41.53,10.42,13.11,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",28.71,"P6"
165,"P1-12022013","12/2/2013 9:38",39.75,10.12,14.54,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",38.73,"P1"
166,"P2-12022013","12/2/2013 9:38",40.78,10.17,16.15,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",38.73,"P2"
167,"P3-12022013","12/2/2013 9:38",41.55,10.48,13.88,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",38.73,"P3"
168,"P4-12022013","12/2/2013 9:38",39.84,12.45,14.7,"OCT172013","TRL","KA32","P2&6-11142013","Pond k32-11142016",38.73,"P4"
