Tracking.ID,Analytical.Sample.ID,DATETIME,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,SiteID,StrainID,SourceID,BatchID,Duration.days,PondID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Duration.days2,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,NH4.mg.L,NH4.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID3,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW
22,ASU_P2_111213_1,11/12/2013 8:00,41.76,16.78,7.04,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,P2,NA,NA,NA,NA,NA,25.73,24.45,0.09,8.19,NA,12.6,35,2.23,NA,NA,3.26,0,23.77,22,0.23,2.23,0.22,0,4.61,0.87,0.13,0.15,0.011
23,ASU_P3_111213_1,11/12/2013 8:00,41.85,14.58,7.01,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,P3,NA,NA,NA,NA,NA,25.73,24.13,0.17,8.12,NA,12.6,36.07,3.25,NA,NA,3.12,0,25.6,23,0.25,5.54,0.23,1.67,7.58,0.89,0.39,0.075,0.012
24,ASU_P4_111213_1,11/12/2013 8:00,41.5,17.94,6.55,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,P4,NA,NA,NA,NA,NA,25.73,24.89,NA,7.65,NA,12.3,10,3.95,NA,NA,0.22,9.94,100.45,24,0.24,1.19,0.2,9.64,16.16,0.89,0.79,0.045,0.016
25,ASU_P5_111213_1,11/12/2013 8:00,42.34,16.31,6.88,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,P5,NA,NA,NA,NA,NA,25.73,23.81,0.26,8.31,NA,12.7,11.5,9.8,NA,NA,0.42,1.35,60.92,25,0.24,0,0.22,0,9.28,0.85,0.59,0.07,0.016
26,ASU_P6_111213_1,11/12/2013 8:00,42.06,15.39,6.26,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,P6,NA,NA,NA,NA,NA,25.73,23.5,0.35,8.37,NA,13.2,9.89,7.25,NA,NA,0.26,0.27,83.43,26,0.24,1.6,0.22,1.31,7.33,0.89,4.17,0.126,0.014
27,ASU_P1_111813_1,11/18/2013 8:15,42.43,14.55,8.07,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,P1,NA,NA,NA,NA,NA,31.74,23.81,0.36,8.49,NA,12.1,26.23,5.55,NA,NA,1.11,1.27,52.33,27,0.38,0.38,0.35,0.42,7.76,1.6,0.36,0.071,0.012
28,ASU_P2_111813_1,11/18/2013 8:15,42.14,NA,8.37,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,P2,NA,NA,NA,NA,NA,31.74,23.5,0.35,8.39,NA,12.7,26.5,6.23,NA,NA,1.21,0,48.49,28,0.37,2.45,0.34,1.46,6.79,1.58,0.32,0.133,0.016
29,ASU_P3_111813_1,11/18/2013 8:15,42.07,NA,8.66,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,P3,NA,NA,NA,NA,NA,31.74,23.5,0.35,7.87,NA,12.2,24.67,3.54,NA,NA,0.97,0,56.42,29,0.38,2.37,0.35,1.09,7.44,1.64,0.31,0.1,0.012
30,ASU_P4_111813_1,11/18/2013 8:15,40.47,16.44,8.03,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,P4,NA,NA,NA,NA,NA,31.74,23.12,0.49,7.78,NA,12.1,0.17,166.21,NA,NA,0.05,1.86,7.6,30,0.38,1.51,0.36,1.86,7.39,1.6,0.36,0.058,0
31,ASU_P5_111813_1,11/18/2013 8:15,43.4,NA,8.31,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,P5,NA,NA,NA,NA,NA,31.74,23.5,0.35,8.41,NA,11.3,0.54,19.94,NA,NA,0.05,2.41,25.59,31,0.38,1.33,0.35,2.54,7.79,1.68,0.62,0.062,0
32,ASU_P6_111813_1,11/18/2013 8:15,41.94,NA,8.16,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,P6,NA,NA,NA,NA,NA,31.74,23.5,0.47,7.62,NA,11.2,0.19,109.44,NA,NA,0.05,0.59,8.9,32,0.42,1.92,0.35,1.78,15.33,1.62,0.62,0.059,NA
33,ASU_P1_112013_1,11/20/2013 8:00,43.51,17.23,8.06,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,P1,NA,NA,NA,NA,NA,33.73,24.45,0.46,8.35,NA,12.4,22.77,4.86,NA,NA,0.52,1.22,96.48,33,0.42,0.69,0.39,0.99,7.2,1.83,0.31,0.086,0.015
34,ASU_P2_112013_1,11/20/2013 8:00,43.37,17.47,8.11,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,P2,NA,NA,NA,NA,NA,33.73,24.45,0.46,7.81,NA,12.6,22.37,4.74,NA,NA,0.41,0,121.09,34,0.41,0.93,0.38,0.66,7.5,1.78,0.49,0.103,0.02
35,ASU_P3_112013_1,11/20/2013 8:00,43.15,17.3,8.26,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,P3,NA,NA,NA,NA,NA,33.73,24.13,0.93,8.1,NA,12.4,20.23,3.02,NA,NA,0.66,0.64,67.37,35,0.42,2.14,0.39,2.67,7.65,1.83,0.48,0.111,0.008
36,ASU_P4_112013_1,11/20/2013 8:00,37.11,21.82,9.94,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,P4,NA,NA,NA,NA,NA,33.73,24.45,0.46,7.73,NA,12.7,0.36,23.33,NA,NA,0.06,0.72,13.62,36,0.4,1.89,0.37,2.03,6.92,1.69,0.2,NA,NA
37,ASU_P5_112013_1,11/20/2013 8:00,39.81,18.93,9.17,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,P5,NA,NA,NA,NA,NA,33.73,24.13,0.93,8.34,NA,12.3,0.15,129.44,NA,NA,0.05,0,7.42,37,0.43,0.89,0.38,0.38,10.68,1.82,0.65,0.013,0
38,ASU_P6_112013_1,11/20/2013 8:00,38.35,19.74,9.68,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,P6,NA,NA,NA,NA,NA,33.73,24.45,0.46,8.31,NA,12.8,0.1,145.44,NA,NA,0.04,0.96,5.08,38,0.45,4.53,0.37,4.79,18.37,1.73,0.5,0.004,0
39,ASU_P1_112213_1,11/22/2013 8:00,43.74,14.89,7.58,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,P1,NA,NA,NA,NA,NA,35.73,28.89,NA,8.38,NA,13.4,17.57,5.7,NA,NA,0.17,0.43,235.03,39,0.39,1.35,0.36,0.7,7.34,1.66,1.23,NA,NA
40,ASU_P2_112213_1,11/22/2013 8:00,44.1,NA,7.97,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,P2,NA,NA,NA,NA,NA,35.73,28.57,NA,8.29,NA,13.4,16.87,6.06,NA,NA,0.23,0.6,159.61,40,0.38,0.38,0.36,0,7.39,1.65,1.63,NA,NA
41,ASU_P3_112213_1,11/22/2013 8:00,43.61,NA,9.68,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,P3,NA,NA,NA,NA,NA,35.73,28.57,NA,8.25,NA,13.4,17.17,3.97,NA,NA,0.11,0.63,340.91,41,0.39,1.7,0.36,0.69,7.68,1.7,0.23,NA,NA
42,ASU_P4_112213_1,11/22/2013 8:00,35.58,NA,10.29,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,P4,NA,NA,NA,NA,NA,35.73,28.57,NA,8.18,NA,13.3,0.22,88.03,NA,NA,0.06,2.62,7.89,42,0.36,1.19,0.34,1.11,5.71,1.51,0.88,NA,NA
43,ASU_P5_11213_1,11/22/2013 8:00,37.98,NA,9.41,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,P5,NA,NA,NA,NA,NA,35.73,28.57,NA,8.29,NA,13.4,0.2,41.16,NA,NA,0.04,0,11.21,43,0.43,3.97,0.35,2.59,19,1.61,0.24,NA,NA
44,ASU_P6_112213_1,11/22/2013 8:00,36.89,NA,9.83,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,P6,NA,NA,NA,NA,NA,35.73,28.89,NA,8.28,NA,13.4,0.06,143.54,NA,NA,0.06,3.28,2.33,44,0.4,4.67,0.33,3.42,18.02,1.51,0.44,NA,NA
45,ASU_P1_112513_1,11/25/2013 7:44,44.05,17.87,7.71,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,P1,NA,NA,NA,NA,NA,38.72,30.48,NA,8.66,NA,6.6,14.03,1.79,NA,NA,0.04,0.37,813.45,45,0.37,1.17,0.34,1.26,7.43,1.69,0.99,NA,NA
46,ASU_P2_112513_1,11/25/2013 7:44,43.2,16.2,7.92,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,P2,NA,NA,NA,NA,NA,38.72,30.48,NA,8.56,NA,6.6,14.4,5.93,NA,NA,0.04,0.64,721.4,46,0.38,1.76,0.35,1.49,6.89,1.68,0.61,NA,NA
47,ASU_P3_112513_1,11/25/2013 7:44,43.53,18,8.58,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,P3,NA,NA,NA,NA,NA,38.72,30.48,NA,8.21,NA,6.6,14.27,5.17,NA,NA,0.04,1.28,815.24,47,0.39,2.07,0.36,0.8,7.26,1.72,0.9,NA,NA
48,ASU_P4_112513_1,11/25/2013 7:44,32.22,26.63,10.85,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,P4,NA,NA,NA,NA,NA,38.72,30.48,NA,7.87,NA,6.6,0.56,20.53,NA,NA,0.04,1.93,33.98,48,0.35,2.32,0.33,1.16,5.04,1.44,0.27,NA,NA
49,ASU_P5_112513_1,11/25/2013 7:44,34.63,20.94,9.9,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,P5,NA,NA,NA,NA,NA,38.72,30.48,NA,8.56,NA,6.6,0.61,11.78,NA,NA,0.02,141.42,75.62,49,0.42,4.66,0.35,1.8,16.12,1.56,0.43,NA,NA
50,ASU_P6_112513_1,11/25/2013 7:44,34.16,24.05,11.13,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,P6,NA,NA,NA,NA,NA,38.72,30.48,NA,8.1,NA,6.7,0.53,23.85,NA,NA,0.02,141.42,66.33,50,0.36,4.58,0.32,2.08,12.55,1.46,0.26,NA,NA
51,ASU_P1_112713_1,11/27/2013 7:44,42.53,NA,8.48,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,40.72,P1,NA,NA,NA,NA,NA,40.72,29.84,0.47,8.75,NA,7.8,9.46,0.46,NA,NA,0.03,1.15,681.21,51,0.42,0.59,0.39,0.74,7.5,1.98,0.51,0.091,0
52,ASU_P2_112713_1,11/27/2013 7:44,42.81,NA,8.3,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,40.72,P2,NA,NA,NA,NA,NA,40.72,29.21,0.47,8.41,NA,7.8,10.13,1.14,NA,NA,0.04,2.83,641.09,52,0.34,0.6,0.31,0.64,7.14,1.9,0.41,NA,NA
53,ASU_P3_112713_1,11/27/2013 7:44,42.48,NA,8.41,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,40.72,P3,NA,NA,NA,NA,NA,40.72,29.21,0.47,8.23,NA,7.8,9.54,1.57,NA,NA,0.03,1.38,685.61,53,0.57,10.58,0.53,10.01,7.21,1.92,0.4,0.028,0
54,ASU_P4_112713_1,11/27/2013 7:44,30.45,NA,10.95,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,40.72,P4,NA,NA,NA,NA,NA,40.72,29.21,0.93,7.72,NA,7.8,0.6,25.63,NA,NA,0.03,4.17,43.27,54,0.4,0.62,0.38,0.66,6.21,1.59,0.24,NA,0
55,ASU_P5_112713_1,11/27/2013 7:44,33.1,NA,11.44,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,40.72,P5,NA,NA,NA,NA,NA,40.72,29.21,0.93,8.61,NA,7.9,0.55,25.03,NA,NA,0.01,490,172.05,55,0.43,1.47,0.38,1.88,10.47,1.65,4.67,0.002,0
56,ASU_P6_112713_1,11/27/2013 7:44,30.34,NA,9.15,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,40.72,P6,NA,NA,NA,NA,NA,40.72,29.21,0.47,8.51,NA,8.1,0.39,6.97,NA,NA,-0.02,-8.41,-46.12,56,0.4,0,0.36,0,10.49,1.59,1.51,0.004,0.001
57,ASU_P1_120213_1,12/2/2013 8:00,41.52,17.83,7.96,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,45.73,P1,NA,NA,NA,NA,NA,45.73,26.62,0.62,8.63,NA,7.8,7.21,1.53,NA,NA,0.03,0.63,475.64,57,0.53,0.73,0.49,1.41,6.95,2.46,2.05,0.021,NA
58,ASU_P2_120213_1,12/2/2013 8:00,41.19,17.82,7.88,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,45.73,P2,NA,NA,NA,NA,NA,45.73,26.99,0.34,8.55,NA,7.8,7.87,3.37,NA,NA,0.01,388.22,1709.2,58,0.53,2.28,0.49,1.03,6.1,2.37,1.17,0.031,0.003
59,ASU_P3_120213_1,12/2/2013 8:00,43.14,19,8.68,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,45.73,P3,NA,NA,NA,NA,NA,45.73,26.99,0.4,8.29,NA,7.8,7.18,9.97,NA,NA,0.03,0.63,469.68,59,0.55,0.35,0.51,1.39,8.13,2.28,1.35,0.009,NA
60,ASU_P4_120213_1,12/2/2013 8:00,27.39,32.49,10.48,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,45.73,P4,NA,NA,NA,NA,NA,45.73,26.99,0.4,7.66,NA,7.9,0.79,14.46,NA,NA,-0.05,-1.24,-38.21,60,0.51,0.37,0.49,0.68,5.4,1.86,0.72,0.003,0.001
61,ASU_P5_120213_1,12/2/2013 8:00,30.96,26.85,11.64,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,45.73,P5,NA,NA,NA,NA,NA,45.73,26.99,0.34,8.44,NA,7.9,1.36,65.45,NA,NA,-0.05,-0.93,-66.1,61,0.55,4.6,0.48,1.4,12.72,1.94,0.53,NA,0.004
62,ASU_P6_120213_1,12/2/2013 8:00,29.26,30,11.19,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,45.73,P6,NA,NA,NA,NA,NA,45.73,26.67,0.4,8.4,NA,8.1,0.9,46.12,NA,NA,-0.04,-0.8,-45.09,62,0.48,2.86,0.45,1.96,7.09,1.79,1.31,NA,0.005
63,ASU_P1_120413_1,12/4/2013 7:44,43,NA,7.94,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,47.72,P1,NA,NA,NA,NA,NA,47.72,26.35,0.46,8.67,NA,9.4,6.14,3.45,NA,NA,NA,NA,NA,63,0.55,1.75,0.52,1.95,5.44,2.66,0.52,0.036,NA
64,ASU_P2_120413_1,12/4/2013 7:44,41.14,NA,8.65,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,47.72,P2,NA,NA,NA,NA,NA,47.72,26.04,NA,8.38,NA,9.3,6.87,3.9,NA,NA,NA,NA,NA,64,0.57,0.59,0.53,0.63,5.88,2.62,2.58,0.025,NA
65,ASU_P3_120413_1,12/4/2013 7:44,28.5,NA,11.31,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,47.72,P3,NA,NA,NA,NA,NA,47.72,26.04,0.44,8.36,NA,9.3,5.45,4.95,NA,NA,NA,NA,NA,65,0.59,0.85,0.56,0.52,5.37,2.49,0.71,0.035,NA
66,ASU_P4_120413_1,12/4/2013 7:44,26.52,NA,8.5,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,47.72,P4,NA,NA,NA,NA,NA,47.72,25.72,0.9,7.7,NA,9.3,0.73,48.26,NA,NA,NA,NA,NA,66,0.54,1.43,0.51,1,4.95,2.02,0.38,0.003,NA
67,ASU_P5_120413_1,12/4/2013 7:44,29.81,NA,11.71,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,47.72,P5,NA,NA,NA,NA,NA,47.72,25.72,0.46,8.32,NA,9.4,0.61,30.47,NA,NA,NA,NA,NA,67,0.62,2.24,0.52,0.98,16.31,2.07,0.85,0.019,NA
68,ASU_P6_120413_1,12/4/2013 7:44,42.79,NA,8.48,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,47.72,P6,NA,NA,NA,NA,NA,47.72,25.4,0.91,8.47,NA,9.7,0.69,10.97,NA,NA,NA,NA,NA,68,0.57,1.56,0.49,1.96,13.34,1.97,1.09,0.005,NA
69,ASU_P1_120513_1,12/5/2013 7:44,42.36,16.96,8.37,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,48.72,P1,8.052083333,2,1067.435,0.553333333,590.6473667,48.72,26.04,0.91,8.22,NA,5.9,4.15,2.37,NA,NA,NA,NA,NA,69,0.6,0.84,0.55,0.52,7,2.86,0.73,0.066,NA
70,ASU_P2_120513_1,12/5/2013 7:44,41.91,18.12,7.61,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,48.72,P2,30.98958333,2,1054.4175,0.558333333,588.7164375,48.72,25.72,0.46,8.22,NA,5.8,4.72,2.89,NA,NA,NA,NA,NA,70,0.59,1.29,0.56,1.03,5.63,2.79,1.43,0.072,NA
71,ASU_P3_120513_1,12/5/2013 7:44,42.14,18.58,8.46,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,48.72,P3,30.98958333,2,1041.4,0.563333333,586.6553333,48.72,25.4,0.93,7.98,NA,5.8,3.73,2.34,NA,NA,NA,NA,NA,71,0.59,1.47,0.56,1.02,4.51,2.64,1.53,NA,NA
72,ASU_P4_120513_1,12/5/2013 7:44,26.13,33.95,12.3,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,48.72,P4,30.98958333,2,1054.4175,0.516666667,544.782375,48.72,25.72,NA,8.36,NA,5.7,0.16,61.88,NA,NA,NA,NA,NA,72,0.54,0.54,0.52,0.56,4.02,2.25,1.18,0.057,NA
73,ASU_P5_120513_1,12/5/2013 7:44,28.68,28.25,11.95,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,48.72,P5,30.98958333,2,1041.4,0.518333333,539.7923333,48.72,25.4,NA,8.18,NA,5.8,0.22,24.1,NA,NA,NA,NA,NA,73,0.6,4.12,0.52,2.23,13.32,2.05,1.02,NA,NA
74,ASU_P6_120513_1,12/5/2013 7:44,27.85,30.85,10.64,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,48.72,P6,30.98958333,2,1025,0.495,507.375,48.72,25,0.58,7.89,NA,5.8,0.14,155.08,NA,NA,NA,NA,NA,74,0.55,1.04,0.5,1.01,10.54,2.19,3.37,0.055,NA
76,P1_31Oct13,10/31/2013 8:15,42.91,14.21,7.46,OCT172013,CP,KA32,KA32_4Oct2013_Panels,KA32_4Oct2013,13.61,P1,NA,NA,NA,NA,NA,13.61,24.77,NA,8.9,31.7,8.9,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,1.16,0.45,NA,NA
