Tracking.ID,Analytical.Sample.ID,DATETIME,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,SiteID,StrainID,SourceID,BatchID,Duration.days,PondID,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Comments,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW
873,CP_P6_101014,10/10/2014 7:25,NA,NA,NA,SEP102014,CP,KA32,KA32_09052151,KA32_09162014_Pond,23.83,P6,NA,1.822916667,NA,NA,NA,NA,NA,24.9,NA,6.97,36.1,15.4,66.46,2.55,5.09,0.01,28.89,0.13,3.82,0.12,3.82,7.35,0.28,1.62,NA,0.026
876,CP_P5_101514,10/15/2014 7:30,NA,NA,NA,SEP102014,CP,KA32,KA32_09052178,KA32_09162014_Pond,28.83,P5,NA,1.961805556,NA,NA,NA,NA,NA,24.9,0.1,7.85,33.8,17.2,65.95,7.21,7.41,0.01,19.72,0.13,6.29,0.12,5.66,7.29,0.76,1.2,0.341,0.029
877,CP_P6_101514,10/15/2014 7:30,NA,NA,NA,SEP102014,CP,KA32,KA32_09052179,KA32_09162014_Pond,28.83,P6,NA,1.961805556,NA,NA,NA,NA,NA,24.9,0.1,7.87,34.9,17.1,69.96,8.05,7.61,0.01,20.35,0.14,0.79,0.13,0.6,7.67,0.79,0.58,0.46,0.034
882,CP_P5_102214,10/22/2014 7:15,46.35,10.7,8.49,SEP102014,CP,KA32,KA32_09052216,KA32_09162014_Pond,35.82,P5,NA,4.989583333,NA,NA,NA,NA,NA,NA,NA,7.96,39.5,12.3,NA,NA,5.44,0.01,NA,0.17,1.03,0.16,0.8,7.89,0.95,0.37,NA,NA
883,CP_P6_102214,10/22/2014 7:15,39.59,10.71,8.33,SEP102014,CP,KA32,KA32_09052217,KA32_09162014_Pond,35.82,P6,NA,4.989583333,NA,NA,NA,NA,NA,NA,NA,7.87,42.4,12.3,NA,NA,6.65,0.02,NA,0.18,2.82,0.17,2.11,8.27,0.99,0.91,NA,NA
1206,CP_Pond5_012315_Rep1,1/23/2015 6:59,45.53,14.33,7.11,DEC162014,CP,KA32,KA32_12192014_Pooled,KA32_12192014_Pond,34.67,P5,NA,NA,NA,NA,NA,NA,NA,24.9,NA,8.67,NA,6.2,NA,NA,9.95,0.04,NA,NA,NA,NA,NA,NA,1.05,0.38,NA,NA
1207,CP_Pond6_012315_Rep1,1/23/2015 6:59,43.15,15.48,7.08,DEC162014,CP,KA32,KA32_12192014_Pooled,KA32_12192014_Pond,34.67,P6,NA,NA,NA,NA,NA,NA,NA,24.9,NA,6.65,NA,6.2,NA,NA,9.81,0.02,NA,NA,NA,NA,NA,NA,1.08,0.57,NA,NA
1282,CP_Pond5_122914,12/29/2014 9:04,37.66,22.18,8.86,DEC162014,CP,KA32,KA32_12192014_Pooled,KA32_12192014_Pond,9.75,P5,NA,NA,NA,NA,NA,NA,NA,25,NA,8.04,38.8,5,62.83,0.63,6.93,0.02,20.07,0.14,3.34,0.12,2.31,12.31,0.55,0.21,2.138,0.155
1283,CP_Pond6_122914,12/29/2014 9:04,38.29,20.86,8.18,DEC162014,CP,KA32,KA32_12192014_Pooled,KA32_12192014_Pond,9.75,P6,NA,NA,NA,NA,NA,NA,NA,24.8,NA,8.13,36.3,5.1,59.39,1.48,6.32,0.01,20.82,0.14,3.67,0.13,1.25,7.66,0.58,0.2,1.046,0.082
1288,CP_Pond5_0109215,1/9/2015 7:04,44.24,14.07,7.56,DEC162014,CP,KA32,KA32_12192014_Pooled,KA32_12192014_Pond,20.67,P5,NA,NA,NA,NA,NA,NA,NA,24.9,0.1,8.27,23.9,10.7,39.11,2.09,4.18,0.05,20.73,0.15,3.36,0.13,2.37,12.84,0.62,0.48,0.096,0.052
1289,CP_Pond6_0109215,1/9/2015 7:04,44.33,14.57,8.77,DEC162014,CP,KA32,KA32_12192014_Pooled,KA32_12192014_Pond,20.67,P6,NA,NA,NA,NA,NA,NA,NA,24.9,NA,8.19,26.5,10.6,40.83,2.63,4.35,0.01,20.78,0.14,1.84,0.12,0.77,10.79,0.6,0.1,0.245,0.111
1535,CP_P5_052215,5/22/2015 7:50,NA,NA,NA,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,15.89,P5,"NO3, 3x, 0.214",15.88888889,1,512.5,0.457777778,234.6111111,"Biomass centrifuged down, 7000 rpm for 6 min at 10 degrees C. Pelleted biomass was dark green. Supernatant was yellow.",24.8,NA,7.88,38.1,13.8,36.59,0.39,0.2,5.87,411.93,0.48,0.46,0.46,0,4.63,2.3,0.35,NA,NA
1536,CP_P6_052225,5/22/2015 7:50,NA,NA,NA,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,15.89,P6,"NO3, 3x, 0.214",15.88888889,1,512.5,0.445185185,228.1574074,"Biomass centrifuged down, 7000 rpm for 6 min at 10 degrees C. Pelleted biomass was dark green. Supernatant was yellow.",24.9,NA,7.77,35.2,13.8,30.88,0.31,0.04,13.32,1577.76,0.47,0.55,0.45,0.29,4.45,2.25,0.49,NA,NA
1541,CP_P5_052915,5/29/2015 7:40,45.49,13.91,7.31,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,22.88,P5,"NO3, 3x, 0.214",3.986111111,3,512.5,0.352933333,180.8783333,"Biomass centrifuged down, 5000 rpm for 10 min. Pellet was green, supernatant had red tint. Green filtrate observed in at least one AFDW replicate.",24.5,1.56,7.81,32.4,13.6,24.03,2.38,0.26,2.25,207.34,0.38,1.57,0.35,0.81,6.24,1.77,1.95,0.171,0.01
1542,CP_P6_052915,5/29/2015 7:40,47.78,13.54,7.18,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,22.88,P6,"NO3, 3x, 0.214",3.986111111,3,512.5,0.339466667,173.9766667,"Biomass centrifuged down, 5000 rpm for 10 min. Pellet was green, supernatant had red tint. Green filtrate observed in at least one AFDW replicate.",24.4,1.88,8.08,32.7,13.5,19.02,1.01,0.1,5.97,435.6,0.36,1.96,0.34,2.1,5.56,1.8,2.23,0.178,0.009
1547,CP_P5_060515,6/5/2015 7:34,43.74,13.94,7.14,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,29.88,P5,"NO3, 3x, 0.214",4.027777778,5,512.5,0.291,149.1375,,24.6,0.19,7.83,40.2,13.8,16.25,7.28,0.14,8.45,263.28,0.31,2.85,0.29,0.93,6.98,1.53,0.18,0.138,NA
1548,CP_P6_060515,6/5/2015 7:34,46.22,12.48,7.74,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,29.88,P6,"NO3, 3x, 0.214",4.027777778,5,512.5,0.293238095,150.2845238,,24.6,NA,8.17,41,13.6,24.98,6.38,0.06,10.19,976.16,0.32,2.11,0.29,1.22,7.23,1.59,0.78,0,NA
1553,CP_P5_060815,6/8/2015 6:59,45.28,13.28,10.95,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,32.85,P5,"NO3, 3x, 0.214",2.975694444,6,512.5,0.259428571,132.9571429,,23.7,0.45,7.98,39,14.4,8.07,6.79,0.13,8.16,136.12,0.27,1.52,0.26,1.32,5.48,1.33,0.22,0.075,0.003
1554,CP_P6_060815,6/8/2015 6:59,45.29,13.37,10.38,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,32.85,P6,"NO3, 3x, 0.214",2.975694444,6,512.5,0.256904762,131.6636905,,22.5,0.87,8.02,37.9,14.7,7.15,9.51,0.03,6.82,535.96,0.27,4.95,0.26,4.41,6.45,1.39,0.72,0.099,0.005
1559,CP_P5_060915,6/9/2015 6:59,43.52,14.56,11.76,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,33.85,P5,NA,NA,NA,NA,NA,NA,NA,24,1.15,7.49,37.9,14.9,4.81,5.62,0.1,4.68,107.59,0.19,0.69,0.18,1.1,4.48,0.91,0.3,0.063,0.007
1560,CP_P6_060915,6/9/2015 6:59,44.16,14.18,11.31,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,33.85,P6,NA,NA,NA,NA,NA,NA,NA,24,1.15,7.91,37.3,14.9,4.4,9.72,0.05,8.6,206.95,0.2,0.71,0.19,0.11,4.99,1.05,0.67,0.063,0.008
1565,CP_P5_061015,6/10/2015 7:50,46.62,12.54,10.11,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,34.89,P5,NA,NA,NA,NA,NA,NA,NA,24.8,NA,8.15,37.1,15.7,2.86,3.21,0.09,3.35,69.72,0.2,0.35,0.19,0.65,4.13,0.95,0.75,0.195,0.001
1566,CP_P6_061015,6/10/2015 7:50,45.37,12.88,10.51,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,34.89,P6,NA,NA,NA,NA,NA,NA,NA,24.9,NA,8.05,37.1,15.6,2.87,3.04,0.05,3.49,120.29,0.21,0.81,0.2,1.25,3.83,1.01,1.4,0.153,0
1571,CP_P5_061115,6/11/2015 8:00,43,13.83,11.29,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,35.9,P5,NA,NA,NA,NA,NA,NA,NA,24.8,NA,8.09,NA,16.5,0.08,392.15,0.04,NA,4.5,0.29,1.73,0.27,0.5,7.6,1.3,2.62,0.035,0.001
1572,CP_P6_061115,6/11/2015 8:00,43.44,13.42,11.32,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,35.9,P6,NA,NA,NA,NA,NA,NA,NA,24.6,0.3,8.09,NA,16.5,0.05,249.47,0.01,NA,10.63,0.28,1.37,0.27,0.54,3.99,1.3,2,0.04,0.001
1577,CP_P5_061215,6/12/2015 7:40,36.12,18.12,11.6,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,36.88,P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,-54.99,NA,NA,NA,0.3,1.73,0.29,0.37,3.27,1.5,0.39,0.016,NA
1578,CP_P6_061215,6/12/2015 7:40,37,17.61,13.12,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,36.88,P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-546.27,NA,NA,NA,0.3,2.79,0.29,0.25,4.44,1.45,0.9,0.004,NA
1583,CP_P5_061515,6/15/2015 8:45,26.96,28.36,13.71,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,39.93,P5,"NO3, 3x, 0.214",7.072916667,7,1025,0.382444444,392.0055556,No qPCR samples collected. Ponds harvested completely and cleaned for next run with bleach and muriatic acid to remove biomass stuck to sides.,23.3,0.37,8,32.7,15.4,-0.01,-346.41,NA,NA,NA,0.39,0.79,0.38,0.59,1.09,1.91,1.3,NA,NA
1584,CP_P6_061515,6/15/2015 8:45,29.41,22.55,11.9,MAY052015,CP,KA32,KA32_05062015_pooledNO3,KA32_05062015_PondNO3,39.93,P6,"NO3, 3x, 0.214",7.072916667,7,1025,0.37,379.25,No qPCR samples collected. Ponds harvested completely and cleaned for next run with bleach and muriatic acid to remove biomass stuck to sides.,24,0.15,8.18,33,15.1,-0.01,-529.15,NA,NA,NA,0.38,0.61,0.37,1.35,3.2,1.97,1.11,NA,NA
